MBC [IDX];Last Successful Poll;IP;Registration Status Group;CM Score;CM DS Avg Pwr;CM US Avg Pwr;CM DS Avg MER;CM US Avg MER;CM Uncorr Codewords;CM Corr Codewords;Flap Ins;Flap Power Adjustment;Flap Total Num;Flap Miss/Hit Ratio;CM Jitter;CM Latency;Packet Loss Rate;CM UpTime;Status Resets;CM DS Ch Set;CM US Ch Set;Memory Utilization;Processor Utilization;Device Name
B8:D9:4D:64:6E:51;08-04-2020 08:41;11.116.115.6;P-Online;100;-3.74;42;42.31;39.7;0;0;1;15;10;0;11;8;0;5268573;0;24 bonding;OFDM;34;11;CM1
28:9E:FC:0D:B8:42;08-04-2020 08:41;11.130.0.148;W-Online;100;3.53;41.8;46.67;41.6;0;0;1;2;247;0;0;6;0;1086841;0;24 bonding;OFDM;32;4;CM1
B8:D9:4D:64:41:87;08-04-2020 08:41;11.130.1.11;W-Online;100;1.01;45;45.72;38.3;0;0.01;1;3;428;0;2;7;0;1718344;0;24 bonding;OFDM;32;2;CM1
B8:D9:4D:64:76:54;08-04-2020 08:41;11.130.1.73;W-Online;100;3.9;42;44.82;39.1;0;0;1;5;79;0;1;7;0;2842018;0;24 bonding;OFDM;33;3;CM1
28:9E:FC:0D:B8:49;08-04-2020 08:41;11.130.0.172;W-Online;100;7.01;37;44.2;40;0;0;2;14;87;0;1;6;0;15427313;0;24 bonding;OFDM;34;7;CM1
28:9E:FC:0D:B8:73;08-04-2020 08:41;11.130.0.8;W-Online;100;3.94;40;43.92;40.3;0;0;1;7;13;0;1;6;0;1622906;0;24 bonding;OFDM;32;10;CM1
28:9E:FC:0D:9B:15;08-04-2020 08:41;11.130.8.160;W-Online;100;5.06;36;44.87;35.6;0;0;1;32;101;0;1;6;0;829423;0;32 bonding;OFDM;35;7;CM1
28:9E:FC:0D:7D:08;08-04-2020 08:41;11.130.0.36;W-Online;100;5.46;32.5;44.43;37.2;0;0;2;49;193;0.151515;1;6;0;760031;0;Mix Bonding;OFDM;37;7;CM1
28:9E:FC:0D:B9:8B;08-04-2020 08:41;11.130.2.192;W-Online;75;0;33.3;0;45.1;0;0;0;5;3;0;2;6;0;5502095;0;24 bonding;OFDM;33;2;CM1
B8:D9:4D:64:84:D9;08-04-2020 08:41;11.116.115.19;W-Online;95;-11.56;52;41.37;42.7;0.01;0.01;1;0;6;0;1;7;0;6118993;0;24 bonding;OFDM;34;7;CM1
28:9E:FC:0D:B9:B7;08-04-2020 08:41;11.130.0.248;W-Online;100;4.38;41.5;47;42.1;0;0;1;34;717;0;1;6;0;6119111;0;24 bonding;OFDM;33;1;CM1
28:9E:FC:0D:B5:8D;08-04-2020 08:41;11.130.8.93;W-Online;100;2.56;36.8;44.77;35.4;0;0;1;70;422;0;1;6;0;1085734;0;32 bonding;OFDM;36;4;CM1
B8:D9:4D:66:CC:8B;08-04-2020 08:41;11.130.0.252;W-Online;100;2.62;42;45.44;41.6;0.01;0;1;30;390;0;1;6;0;548434;0;24 bonding;OFDM;32;7;CM1
28:9E:FC:0D:D9:4B;08-04-2020 08:41;11.130.1.194;W-Online;100;5.16;45.8;46.79;41.7;0;0;1;2;63;0;2;7;0;158017;0;24 bonding;OFDM;32;10;CM1
28:9E:FC:0D:F4:47;08-04-2020 08:41;11.116.115.111;W-Online;100;0.97;48.3;46.01;39.4;0;0.01;1;3;85;0;2;6;0;6119360;0;24 bonding;OFDM;33;2;CM1
28:9E:FC:0D:B9:4C;08-04-2020 08:41;11.116.115.130;W-Online;100;2.76;42.8;45.02;44.1;0.01;0.01;1;6;22;0;1;7;0;3239464;3;32 bonding;OFDM;36;11;CM1
B8:D9:4D:66:CB:B7;08-04-2020 08:41;11.130.0.149;W-Online;100;5.12;42.3;45.84;43.3;0.01;0.01;2;0;34;0;3;7;0;4201662;0;32 bonding;OFDM;36;5;CM1
28:9E:FC:0E:02:71;08-04-2020 08:41;11.130.1.20;W-Online;100;4.24;37.8;43.8;39.7;0;0;0;0;0;0;0;6;0;1786914;0;24 bonding;OFDM;32;12;CM1
B8:D9:4D:66:D4:08;08-04-2020 08:41;11.116.115.151;W-Online;100;0.64;44.3;44.94;45.1;0;0;1;5;13;0;1;7;0;9762512;1;24 bonding;OFDM;34;11;CM1
28:9E:FC:0E:18:C1;08-04-2020 08:41;11.116.115.111;W-Online;100;1.44;37;44.94;35.1;0;0;1;21;85;0;1;6;0;13465364;4;24 bonding;OFDM;38;4;CM1
28:9E:FC:0D:E4:B3;08-04-2020 08:41;11.130.1.190;W-Online;100;-1;42.8;44.22;36.5;0;0;5;39;190;0;2;7;0;1336546;0;24 bonding;OFDM;33;8;CM1
B8:D9:4D:66:F8:3C;08-04-2020 08:41;11.130.0.243;P-Online;100;1.49;46.8;44.2;40.7;0;0;2;175;6661;0;13;9;0;9743696;1;24 bonding;OFDM;36;3;CM1
28:9E:FC:0E:14:06;08-04-2020 08:41;11.130.3.41;W-Online;100;0;44.3;45.12;45.1;0;0;1;7;6707;0;2;7;0;8677640;1;24 bonding;OFDM;33;6;CM1
28:9E:FC:0D:FD:38;08-04-2020 08:41;11.116.115.215;W-Online;100;3.17;41.8;46.54;39.7;0.01;0;1;333;6987;0;0;6;0;7195;0;24 bonding;OFDM;32;13;CM1
B8:D9:4D:66:FF:F2;08-04-2020 08:41;11.130.2.73;W-Online;100;1.1;39.3;43.17;40;0;0.05;0;5;9426;0;1;6;0;13453856;0;24 bonding;OFDM;37;10;CM1
B8:D9:4D:66:DB:13;08-04-2020 08:41;11.116.115.22;W-Online;100;-1.29;45.3;45.2;45.1;0;0;1;7;840;0;3;8;0;9762751;3;24 bonding;OFDM;34;6;CM1
28:9E:FC:0E:52:FF;08-04-2020 08:41;11.130.1.14;W-Online;100;7.74;42.3;47;41.6;0;0;1;1;1038;0;2;7;0;10864168;1;24 bonding;OFDM;39;4;CM1
